0	1	5	6	7	5	6	6	7	6	
1	1	4	6	7	4	6	5	6	6	
1	2	5	6	6	4	6	4	5	6	
1	3	4	6	6	3	5	4	4	6	
2	3	4	5	7	3	5	5	4	7	
2	4	4	6	7	4	5	6	4	8	
2	5	4	6	7	3	5	5	4	7	
3	5	4	6	8	3	5	6	4	7	
4	5	3	6	7	3	5	6	4	8	
4	5	3	7	7	2	5	6	3	8	
4	5	3	7	8	2	5	6	2	8	
4	5	3	8	9	2	5	6	2	9	
4	5	2	8	8	2	5	6	2	8	
4	5	2	7	8	3	5	6	1	8	
4	5	1	7	7	3	5	6	0	8	
4	5	0	7	8	3	5	6	1	8	
4	5	0	8	7	3	5	6	0	8	
4	5	1	8	8	3	5	6	0	7	
4	5	1	9	9	3	5	6	1	7	
4	5	2	9	8	3	5	6	1	8	
4	5	1	9	7	3	5	6	1	9	
4	5	1	8	8	3	5	6	2	9	
4	5	2	8	9	3	5	6	2	8	
4	5	1	8	9	2	5	6	3	8	
4	5	1	7	8	2	5	7	2	8	
4	5	1	8	8	3	6	7	3	8	
5	5	1	9	7	3	7	7	2	8	
5	6	1	8	7	2	7	7	2	7	
5	7	2	8	8	2	7	7	3	7	
6	7	2	7	8	3	8	7	3	8	
7	7	2	8	8	2	9	7	3	9	
