0	1	6	5	6	6	6	6	7	7	
1	1	6	6	6	7	6	5	6	7	
1	2	6	5	7	7	7	5	5	7	
1	3	5	5	7	6	7	6	4	7	
2	3	6	5	7	7	6	6	3	7	
2	4	6	6	6	7	6	5	3	6	
2	5	6	5	6	8	5	5	4	6	
3	5	6	4	7	8	5	6	5	6	
4	5	6	3	7	9	6	6	6	6	
5	5	7	3	6	9	6	6	6	5	
5	6	7	2	5	9	6	5	5	5	
5	7	7	3	4	9	5	5	5	4	
6	7	6	3	4	8	4	5	4	4	
7	7	5	3	5	8	3	5	4	5	
