0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	1	1	0	0	0	
0	0	0	0	0	1	1	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0.2566	1	0	0	0	
0	0	0	0	0.2518	0.25	0.5022	0	0	0	
0	0	0	0	0.2606	0.49	0.2412	0.252	0	0	
0	0	0	0	0	0.2482	0.2474	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0.0626	0	0	0	0	
0	0	0	0	0.1358	1.0572	0.195	0	0	0	
0	0	0	0.0656	0.1236	0.3716	0.1238	0.189	0	0	
0	0	0	0.062	0.1848	0.253	0.364	0.0616	0.0618	0	
0	0	0	0	0.1328	0.18	0.1216	0.131	0	0	
0	0	0	0	0	0.0644	0.0588	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0.0158	0	0	0	0	
0	0	0	0	0.0498	0.015	0.0646	0	0	0	
0	0	0	0.0548	1.0436	0.1874	0.0488	0.1026	0	0	
0	0	0.013	0.0442	0.1898	0.133	0.2776	0.044	0.064	0	
0	0	0.0162	0.064	0.1416	0.28	0.143	0.1896	0.0158	0.0146	
0	0	0	0.0522	0.0886	0.1428	0.172	0.0478	0.0448	0	
0	0	0	0	0.053	0.0612	0.0454	0.0486	0	0	
0	0	0	0	0	0.0136	0.0172	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0.0174	0.0032	0.0226	0	0	0	
0	0	0	0.0228	0.0148	0.08	0.02	0.0412	0	0	
0	0	0.0168	1.0246	0.1258	0.0594	0.1662	0.0204	0.0424	0	
0	0.0028	0.0126	0.0826	0.0848	0.2368	0.093	0.152	0.0144	0.0202	
0	0.0034	0.02	0.0618	0.1564	0.1496	0.2198	0.0604	0.0816	0.0028	
0	0	0	0.064	0.1028	0.145	0.091	0.1142	0.0184	0.016	
0	0	0	0	0.052	0.0632	0.0776	0.0234	0.024	0	
0	0	0	0	0.0158	0.0222	0.0156	0.0138	0	0	
0	0	0	0	0	0.0042	0.0042	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0.0128	0.0048	0.0334	0.0074	0.0194	0	0	
0	0	0.011	0.0112	0.0626	0.0226	0.0782	0.0094	0.0192	0	
0	0.005	0.01	0.0592	0.0446	0.1572	0.044	0.0996	0.008	0.0174	
0.0014	0.0038	0.0342	1.046	0.151	0.099	0.1854	0.0496	0.085	0.0052	
0.0008	0.0058	0.0052	0.1124	0.1022	0.1904	0.0986	0.1392	0.025	0.0322	
0	0	0	0.0298	0.124	0.101	0.133	0.0452	0.0624	0.0054	
